old_code,new_code
51.42.5,46.42.14
51.43,46.43
51.43.1,46.43.1
51.43.2,46.43.2
46.43.3,46.43.3
51.43.21,46.43.2
51.43.22,46.43.3
51.44,46.44
51.44.1,46.49.1
51.44.2,46.44.1
51.44.3,46.73.7
51.44.4,46.44.2
51.45,46.45
51.45.1,46.45.1
51.45.2,46.45.2
51.46,46.46
51.46.1,46.46.1
51.46.2,46.46.2
51.47,46.49
51.47.1,46.47
51.47.11,46.47.1
51.47.12,46.49.5
51.47.13,46.49.2
51.47.14,46.47.3
51.47.15,46.49.49
51.47.2,46.49.3
51.47.21,46.49.31
51.47.22,46.49.32
51.47.23,46.49.33
51.47.3,46.49.4
51.47.31,46.49.41
51.47.32,46.43.4
51.47.33,46.49.42
51.47.34,46.48.2
51.47.35,46.49.43
51.47.36,46.49.44
51.47.37,46.49.49
51.5,46.7
51.51,46.71
51.51.1,46.71.1
51.51.2,46.71.2
51.51.3,46.71
51.52,46.72
51.52.1,46.72.1
51.52.11,46.72.11
51.52.12,46.72.12
51.52.2,46.72.2
51.52.21,46.72.21
51.52.22,46.72.22
51.52.23,46.72.23
51.53,46.73
51.53.1,46.73.1
46.73.2,46.73.2
51.53.2,46.73.4
46.73.5,46.73.5
46.73.3,46.73.3
46.73.6,46.73.6
51.53.21,46.73.3
51.53.22,46.73.4
51.53.23,46.73.5
51.53.24,46.73.6
51.54,46.74
51.54.1,46.74.1
51.54.2,46.74.2
51.54.3,46.74.3
51.55,46.75
51.55.1,46.75.1
